# taille buf1 buf16 buf256 buf1024
1 0.00 0.00 0.00 0.00
10 0.00 0.00 0.00 0.00
100 0.00 0.00 0.00 0.00
1000 0.00 0.00 0.00 0.00
10000 0.02 0.02 0.03 0.05
100000 0.24 0.25 0.33 0.53
1000000 2.52 2.47 3.42 7.10
